Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Finn.Desktop\Finn.Desktop.csproj,File,Finn.Desktop\Finn.Desktop.csproj,,,iTextSharp 5.5.13.4,,,,,"iTextSharp, 5.5.13.4  Recommendation:  iTextSharp, 5.5.13.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Finn.Desktop\Finn.Desktop.csproj,File,Finn.Desktop\Finn.Desktop.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0-windows
